전체날짜,종목명,제목,본문
2022.06.01 05:23,카카오,이시간에 카카오메인이 조선이 싹쓸이하네...,메인 7개 뉴스중에 5개가 조선1개가 동아 1개가 듣보잡 인터넷언론....이러니 주가가 이모양이지..
2022.06.01 08:44,카카오,돈은 많이 받으면서,"근무시간에 오디오라인 열어놓는게 불만이라니
그냥 집에서 누워서 tv보면서 근무하고 싶나보다. 그냥 출근 시켜라. 주가 반토막났는데도 성과급이랑 월급 인상해서 꼬박꼬박 다 처받아가면서 불만 졸라 많네"
2022.06.01 08:59,카카오,유영두 할아버지 넘 실망이에요~~^^,"토른방에 남겨진 유영두 할아버지에 대한 댓글 입니다.
""범수 똘마니 의심 ""
""생긴것이 사기꾼""
""영두 방송보면서 사기꾼인지 모르면 주식 접어라""
이런 댓글들을 보게되면 할아버지께 너무 실망감이 큽니다.
할아버지 이런 댓글들이 증말 사실은 아니겠지요?
저는 할아버지만 믿어요~^^"
2022.06.01 09:29,카카오,빡빡이 하는짓 보면 모르나,"김범수가 일궈낸 자리 편하게 앉아서 메타버스 빌미로 날로 먹을려고 하는거지

카카오 대표 빡빡이로 바뀌고나서 직원들만 배불리기만했지 개선은 되긴 했냐?"
2022.06.01 09:37,카카오,한오백년 전쟁하자는 미필 양키괴뢰!!!,"우리는 원래 하나였으나, 미,소에 의해 강제로 분단 당했습니다.
피눈물도 없다는 유태계 양키 군산복합체놈들 천문학적인 재고무기 소진용 6.25로
핏줄들 300만명이 학살당한 비운의 슬픈 민족이었습니다.

양키 점령치하 77년째, 지구상 유일한 전작권도 없는 양키 괴뢰 형태의 국군!
북한은 국내법상 불법 단체 범법자들로 통일 대상이지 주적은 아닌 것입니다,
그런데 미필 윤석열 정권에서 북한을 주적이라니...양키 사냥개가 확실해졌습니다.

전 미국무장관 ""틸러슨""의 직언, 일본은 동맹, 한국은 파트너라 직시했지요!
달리말해 미 외교격, 동맹-친구-파트너에서 한국은 친구도 아닌 파트너 즉 앞잡이
그런데 동맹 타령하며 하루 100억이상씩 주둔비등으로 강탈당하는 치욕속에 충성?"
2022.06.01 10:00,카카오,전라도,"아직 식인문화풍습 있나요?
여행가볼까하는데
안전한 지역동네 알려주세요"
2022.06.01 10:25,카카오,지주회사 반등하네,땅값상승 가즈아
2022.06.01 11:13,카카오,●●●6월을 맞이하여ㆍ카카오주주로써 59●●●,"오랜시간 겪어온 하락이
이제 단기 골ㆍ크를 앞두고

이평 조절을 하고 있고
지리하게도 조정받던 일들도
이제 단기 마무리를 짓고

상승곡선을 그리고 있지요

6월은 10만닷컴이라는
목표를 가지고

진군하는 한달이 될것이고

앞으로 오랜 시간이 걸리겠지만

디지털 시간은
세상에 받아들여야 하는 업보입니다

허니 급하지 않다면

100만닷컴까지
뚜벅뚜벅 걸어가도
가능하리라 봅니다

삼전 시총만 가면 됩니다

홧팅

Ps.앞으로 글은
한달에 한번씩만 올립니다"
2022.06.01 12:12,카카오,[버스토큰엔 Z라는단어는없지만..],Z는 누가나가잘알고있는 그단어의 Z이다..
2022.06.01 13:29,카카오,대표 최저시급 받는거 인증했냐?,궁금하다. 그런데 말입니다.슈카 평단 얼마에 물려있을까?
2022.06.01 13:43,카카오,고교생투표권 폐지해야한다,"특정 정치세력이 학교를 정치장화하고 학생들을 정치 도구화하는 고3투표권 다시 재고해야한다
교육기본법에는 ‘교육은 정치적,파당적 또는 개인적 편견을 전파하기 위한 방편으로 이용되어서는 아니 된다’(제6조 제1항), ‘교원은 특정한 정당이나 정파를 지지하거나 반대하기 위하여 학생을 지도하거나 선동하여서는 아니 된다’(제14조 제4항)고 적시돼 있다.
보수, 진보라는 이념적 대립이 학교를 오염시키고, 정치권과 이념세력까지 고등학교에 들어온다는것은 말이안된다
특히 만19세부터 성인으로 명시해 만18세까지는 단독으로 법률상 유효행위를 할 수 없도록 한 민법과 충돌한다. 또 민법에 근거해 만19세 미만을 청소년으로 규정하고, 술?담배 등 유해약물은 물론 유해업소, 유해매체로부터 보호하는 청소년보호법과도 정면 배치된다. 이처럼 성년 연령 조정에 따른 부작용과 혼란 해소, 법령 정비에 대해 다시 논의하고 대책 마련이 필요하다
그리고 전교조가 장악한 학교에 보수가 어디 있나?
학생들 대부분을 좌편향으로 만드는데 학생들 표가 어디로 갈지는 자명한 일이다
학생들 정치화시키지말고 촉법소년이나 안나오게 인성교육이나 똑바로 시켜라
수업시간에 잠자는것 깨웠다고 학생이 선생을 칼로 찌르는게 오늘날 대한민국 교육계의 현실이다
""교사가 잠깨우고 꾸짖자 밖에 나가 칼 훔쳐와 찌른 고교생 구속""
관련기사: https://www.joongang.co.kr/article/25063857 
이게 다 좌파교육감과 전교조들의 작품아닌가?
고3이면 미성년자다
만18세 선거권 재고해야한다"
2022.06.01 13:58,카카오,요즘 고교생이 청소년이냐?,"초등학생도 술마시고 담배피는데 새삼스럽게..

그냥 투표하게 해주고 청소년 보호법 없애는게 베스트다.

아님 8,90년대처럼 교생이 맨주먹으로 아갈창날리고 빠따로 체벌할수있게 허용 해주던가"
2022.06.01 14:16,카카오,이대로만 쭉 가자,가자가자가자가자가자
2022.06.01 14:48,카카오,뒤통수,조심허라 했다
2022.06.01 15:00,카카오,5년차 주주,오늘 푹 쉬고 내일 또 뛰어봅시다
2022.06.01 15:33,카카오,119548,"11954821
W5성공, M5실패"
2022.06.01 16:14,카카오,메타버스 근무제,"메타버스 근무제

https://m.dcinside.com/mini/kakaostock/166"
2022.06.01 17:53,카카오,껍데기만 남은 회사,"돈 되는 부문은 모조리 분할해서 자회사로 떼어내고
카카오에 남은 게 뭐가 있나?
사려면 따로 상장시킨 자회사를 사야지.
구글 유튜브, 구글 검색, 구글 광고....... 이런 식으로 물적분할해버린 구글 주식 본 적 있나?
구글은 안 하는 짓을 카카오는 그렇게 하고 있지."
2022.06.01 18:30,카카오,유영두,"15만원간다고 합니다 ㅋ
이제 100만원씩 한방에 받더만 ㅋ
카카오로 돈 제일 마니 벌어서 배부르겠다^^"
